id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position,p,fold-change
1836,"dual specificity phosphatase 6",1836,"DUSP6","dual specificity phosphatase 6",1848,"12","n/a","n/a","2.61e-20","3.800"
90100,"ZNF503 antisense RNA 1 (non-protein coding)",90100,"ZNF503-AS1","ZNF503 antisense RNA 1 (non-protein coding)",253264,"10","n/a","n/a","6.08e-12","3.796"
9198,"CD163 molecule",9198,"CD163","CD163 molecule",9332,"12","n/a","n/a","2.21e-08","3.785"
2147,"coagulation factor XIII, A1 polypeptide",2147,"F13A1","coagulation factor XIII, A1 polypeptide",2162,"6","n/a","n/a","1.10e-05","3.784"
4233,"microsomal glutathione S-transferase 2",4233,"MGST2","microsomal glutathione S-transferase 2",4258,"4","n/a","n/a","2.27e-20","3.782"
6908,"transcobalamin II",6908,"TCN2","transcobalamin II",6948,"22","n/a","n/a","3.16e-12","3.772"
4044,"lysozyme",4044,"LYZ","lysozyme",4069,"12","n/a","n/a","5.30e-09","3.771"
7359,"utrophin",7359,"UTRN","utrophin",7402,"6","n/a","n/a","2.20e-24","3.770"
40724,"popeye domain containing 2",40724,"POPDC2","popeye domain containing 2",64091,"3","n/a","n/a","7.06e-12","3.744"
645,"bone morphogenetic protein 1",645,"BMP1","bone morphogenetic protein 1",649,"8","n/a","n/a","7.13e-13","3.742"
3850,"keratin 18",3850,"KRT18","keratin 18",3875,"12","n/a","n/a","1.71e-17","3.739"
3529,"interleukin 1 receptor, type I",3529,"IL1R1","interleukin 1 receptor, type I",3554,"2","n/a","n/a","1.16e-13","3.731"
157125939,"uncharacterized LOC100652809",157125939,"LOC100652809","uncharacterized LOC100652809",100652809,"2","n/a","n/a","3.97e-19","3.720"
55426,"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)",55426,"GALNT14","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)",79623,"2","n/a","n/a","2.02e-15","3.716"
4229,"KIT ligand",4229,"KITLG","KIT ligand",4254,"12","n/a","n/a","5.24e-23","3.698"
4334,"mannose receptor, C type 1",4334,"MRC1","mannose receptor, C type 1",4360,"10","n/a","n/a","1.46e-08","3.698"
853,"caveolin 1, caveolae protein, 22kDa",853,"CAV1","caveolin 1, caveolae protein, 22kDa",857,"7","n/a","n/a","3.10e-12","3.688"
94569,"uncharacterized LOC285419",94569,"LOC285419","uncharacterized LOC285419",285419,"4","n/a","n/a","2.22e-12","3.685"
26272,"LATS, large tumor suppressor, homolog 2 (Drosophila)",26272,"LATS2","LATS, large tumor suppressor, homolog 2 (Drosophila)",26524,"13","n/a","n/a","6.60e-23","3.681"
5326,"plastin 3",5326,"PLS3","plastin 3",5358,"X","n/a","n/a","7.44e-25","3.663"
9727,"SEC24 family, member D (S. cerevisiae)",9727,"SEC24D","SEC24 family, member D (S. cerevisiae)",9871,"4","n/a","n/a","2.34e-20","3.654"
6246,"S100 calcium binding protein A8",6246,"S100A8","S100 calcium binding protein A8",6279,"1","n/a","n/a","4.02e-06","3.652"
5119,"phosphodiesterase 8A",5119,"PDE8A","phosphodiesterase 8A",5151,"15","n/a","n/a","7.82e-29","3.651"
2984,"granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)",2984,"GZMA","granzyme A (granzyme 1, cytotoxic T-lymphocyte-associated serine esterase 3)",3001,"5","n/a","n/a","3.36e-08","3.649"
7032,"tyrosine kinase with immunoglobulin-like and EGF-like domains 1",7032,"TIE1","tyrosine kinase with immunoglobulin-like and EGF-like domains 1",7075,"1","n/a","n/a","1.60e-12","3.640"
910,"CD3d molecule, delta (CD3-TCR complex)",910,"CD3D","CD3d molecule, delta (CD3-TCR complex)",915,"11","n/a","n/a","8.62e-07","3.638"
56995,"olfactory receptor, family 51, subfamily E, member 2",56995,"OR51E2","olfactory receptor, family 51, subfamily E, member 2",81285,"11","n/a","n/a","2.97e-10","3.635"
41467,"5'-nucleotidase domain containing 2",41467,"NT5DC2","5'-nucleotidase domain containing 2",64943,"3","n/a","n/a","3.95e-16","3.628"
4030,"lymphotoxin beta receptor (TNFR superfamily, member 3)",4030,"LTBR","lymphotoxin beta receptor (TNFR superfamily, member 3)",4055,"12","n/a","n/a","2.20e-17","3.626"
55776,"cadherin-like and PC-esterase domain containing 1",55776,"CPED1","cadherin-like and PC-esterase domain containing 1",79974,"7","n/a","n/a","7.87e-22","3.624"
978,"cyclin-dependent kinase 1",978,"CDK1","cyclin-dependent kinase 1",983,"10","n/a","n/a","3.31e-17","3.618"
1359,"carboxypeptidase M",1359,"CPM","carboxypeptidase M",1368,"12","n/a","n/a","1.60e-18","3.594"
857,"runt-related transcription factor 1",857,"RUNX1","runt-related transcription factor 1",861,"21","n/a","n/a","1.49e-16","3.589"
133,"adenosine A2b receptor",133,"ADORA2B","adenosine A2b receptor",136,"17","n/a","n/a","7.49e-14","3.583"
157121371,"uncharacterized LOC100505806",157121371,"LOC100505806","uncharacterized LOC100505806",100505806,"5","n/a","n/a","2.75e-14","3.583"
5787,"poliovirus receptor-related 2 (herpesvirus entry mediator B)",5787,"PVRL2","poliovirus receptor-related 2 (herpesvirus entry mediator B)",5819,"19","n/a","n/a","6.57e-17","3.579"
4217,"MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase",4217,"MFNG","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase",4242,"22","n/a","n/a","2.19e-21","3.575"
1534,"cytochrome P450, family 1, subfamily B, polypeptide 1",1534,"CYP1B1","cytochrome P450, family 1, subfamily B, polypeptide 1",1545,"2","n/a","n/a","8.90e-04","3.574"
6968,"TEK tyrosine kinase, endothelial",6968,"TEK","TEK tyrosine kinase, endothelial",7010,"9","n/a","n/a","1.11e-23","3.574"
41223,"early B-cell factor 2",41223,"EBF2","early B-cell factor 2",64641,"8","n/a","n/a","3.99e-14","3.571"
4908,"2'-5'-oligoadenylate synthetase 2, 69/71kDa",4908,"OAS2","2'-5'-oligoadenylate synthetase 2, 69/71kDa",4939,"12","n/a","n/a","2.63e-18","3.571"
2025,"stomatin",2025,"STOM","stomatin",2040,"9","n/a","n/a","4.36e-24","3.567"
10328,"tripartite motif containing 38",10328,"TRIM38","tripartite motif containing 38",10475,"6","n/a","n/a","2.58e-37","3.567"
9643,"discs, large (Drosophila) homolog-associated protein 5",9643,"DLGAP5","discs, large (Drosophila) homolog-associated protein 5",9787,"14","n/a","n/a","1.18e-16","3.565"
8376,"serum deprivation response",8376,"SDPR","serum deprivation response",8436,"2","n/a","n/a","2.84e-12","3.556"
298,"annexin A1",298,"ANXA1","annexin A1",301,"9","n/a","n/a","2.04e-16","3.551"
119542,"platelet endothelial aggregation receptor 1",119542,"PEAR1","platelet endothelial aggregation receptor 1",375033,"1","n/a","n/a","1.33e-15","3.549"
85696,"receptor accessory protein 3",85696,"REEP3","receptor accessory protein 3",221035,"10","n/a","n/a","4.95e-33","3.548"
1989,"ELK3, ETS-domain protein (SRF accessory protein 2)",1989,"ELK3","ELK3, ETS-domain protein (SRF accessory protein 2)",2004,"12","n/a","n/a","4.05e-28","3.536"
3992,"lysyl oxidase-like 2",3992,"LOXL2","lysyl oxidase-like 2",4017,"8","n/a","n/a","3.86e-12","3.535"
9790,"purinergic receptor P2Y, G-protein coupled, 14",9790,"P2RY14","purinergic receptor P2Y, G-protein coupled, 14",9934,"3","n/a","n/a","3.88e-14","3.530"
9738,"TBC1 domain family, member 4",9738,"TBC1D4","TBC1 domain family, member 4",9882,"13","n/a","n/a","1.95e-26","3.529"
6489,"smoothelin",6489,"SMTN","smoothelin",6525,"22","n/a","n/a","1.11e-14","3.527"
10241,"synaptonemal complex protein 2",10241,"SYCP2","synaptonemal complex protein 2",10388,"20","n/a","n/a","1.45e-13","3.524"
36216,"prostate transmembrane protein, androgen induced 1",36216,"PMEPA1","prostate transmembrane protein, androgen induced 1",56937,"20","n/a","n/a","5.27e-24","3.518"
8349,"transgelin 2",8349,"TAGLN2","transgelin 2",8407,"1","n/a","n/a","5.45e-17","3.514"
123454,"sterile alpha motif domain containing 5",123454,"SAMD5","sterile alpha motif domain containing 5",389432,"6","n/a","n/a","9.71e-19","3.513"
58020,"FERM domain containing 8",58020,"FRMD8","FERM domain containing 8",83786,"11","n/a","n/a","1.17e-30","3.508"
30676,"importin 11",30676,"IPO11","importin 11",51194,"5","n/a","n/a","4.60e-15","3.507"
57528,"sprouty homolog 4 (Drosophila)",57528,"SPRY4","sprouty homolog 4 (Drosophila)",81848,"5","n/a","n/a","2.19e-18","3.504"
58440,"leucine rich repeat containing 8 family, member C",58440,"LRRC8C","leucine rich repeat containing 8 family, member C",84230,"1","n/a","n/a","1.78e-24","3.500"
856,"runt-related transcription factor 2",856,"RUNX2","runt-related transcription factor 2",860,"6","n/a","n/a","2.24e-14","3.500"
5042,"PRKC, apoptosis, WT1, regulator",5042,"PAWR","PRKC, apoptosis, WT1, regulator",5074,"12","n/a","n/a","1.07e-21","3.495"
56635,"EGF-like-domain, multiple 8",56635,"EGFL8","EGF-like-domain, multiple 8",80864,"6","n/a","n/a","1.90e-09","3.491"
6886,"T-box 3",6886,"TBX3","T-box 3",6926,"12","n/a","n/a","4.03e-20","3.490"
7040,"thymidine kinase 1, soluble",7040,"TK1","thymidine kinase 1, soluble",7083,"17","n/a","n/a","7.94e-14","3.489"
79877,"ankyrin repeat and SOCS box containing 9",79877,"ASB9","ankyrin repeat and SOCS box containing 9",140462,"X","n/a","n/a","9.90e-14","3.489"
81054,"FYVE, RhoGEF and PH domain containing 5",81054,"FGD5","FYVE, RhoGEF and PH domain containing 5",152273,"3","n/a","n/a","1.34e-17","3.470"
1877,"endothelin converting enzyme 1",1877,"ECE1","endothelin converting enzyme 1",1889,"1","n/a","n/a","1.16e-17","3.467"
25708,"KN motif and ankyrin repeat domains 2",25708,"KANK2","KN motif and ankyrin repeat domains 2",25959,"19","n/a","n/a","6.12e-21","3.462"
8956,"LIM domain binding 2",8956,"LDB2","LIM domain binding 2",9079,"4","n/a","n/a","8.12e-13","3.459"
3141,"hyaluronan-mediated motility receptor (RHAMM)",3141,"HMMR","hyaluronan-mediated motility receptor (RHAMM)",3161,"5","n/a","n/a","1.09e-14","3.451"
33620,"G protein-coupled receptor 85",33620,"GPR85","G protein-coupled receptor 85",54329,"7","n/a","n/a","1.49e-15","3.448"
8238,"dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)",8238,"DYSF","dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)",8291,"2","n/a","n/a","5.90e-13","3.447"
5761,"protein tyrosine phosphatase, receptor type, G",5761,"PTPRG","protein tyrosine phosphatase, receptor type, G",5793,"3","n/a","n/a","1.88e-25","3.443"
1024,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",1024,"CDKN2B","cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",1030,"9","n/a","n/a","1.35e-13","3.442"
36286,"chemokine (C-X-C motif) receptor 7",36286,"CXCR7","chemokine (C-X-C motif) receptor 7",57007,"2","n/a","n/a","4.48e-13","3.440"
9624,"KIAA0101",9624,"KIAA0101","KIAA0101",9768,"15","n/a","n/a","5.80e-14","3.435"
34610,"transmembrane protein 74B",34610,"TMEM74B","transmembrane protein 74B",55321,"20","n/a","n/a","3.37e-17","3.433"
30794,"family with sequence similarity 198, member B",30794,"FAM198B","family with sequence similarity 198, member B",51313,"4","n/a","n/a","9.61e-18","3.430"
94152,"long intergenic non-protein coding RNA 324",94152,"LINC00324","long intergenic non-protein coding RNA 324",284029,"17","n/a","n/a","1.56e-17","3.416"
3648,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",3648,"ITGA2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",3673,"5","n/a","n/a","1.21e-21","3.413"
58106,"hemicentin 1",58106,"HMCN1","hemicentin 1",83872,"1","n/a","n/a","4.41e-17","3.407"
4616,"myosin ID",4616,"MYO1D","myosin ID",4642,"17","n/a","n/a","6.89e-21","3.405"
10040,"lipoma HMGIC fusion partner",10040,"LHFP","lipoma HMGIC fusion partner",10186,"13","n/a","n/a","6.40e-27","3.403"
8604,"vesicle-associated membrane protein 8 (endobrevin)",8604,"VAMP8","vesicle-associated membrane protein 8 (endobrevin)",8673,"2","n/a","n/a","9.28e-15","3.395"
94186,"polymerase I and transcript release factor",94186,"PTRF","polymerase I and transcript release factor",284119,"17","n/a","n/a","8.61e-20","3.389"
41334,"tensin 3",41334,"TNS3","tensin 3",64759,"7","n/a","n/a","7.83e-28","3.387"
3097,"major histocompatibility complex, class II, DP beta 1",3097,"HLA-DPB1","major histocompatibility complex, class II, DP beta 1",3115,"6","n/a","n/a","5.57e-09","3.385"
6369,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",6369,"SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F",6405,"3","n/a","n/a","3.55e-16","3.380"
1830,"extracellular matrix protein 2, female organ and adipocyte specific",1830,"ECM2","extracellular matrix protein 2, female organ and adipocyte specific",1842,"9","n/a","n/a","1.12e-19","3.372"
79601,"StAR-related lipid transfer (START) domain containing 4",79601,"STARD4","StAR-related lipid transfer (START) domain containing 4",134429,"5","n/a","n/a","2.38e-15","3.369"
5072,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5",5072,"SERPINA5","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5",5104,"14","n/a","n/a","4.77e-14","3.363"
2278,"forkhead box F1",2278,"FOXF1","forkhead box F1",2294,"16","n/a","n/a","2.81e-20","3.355"
22935,"raftlin, lipid raft linker 1",22935,"RFTN1","raftlin, lipid raft linker 1",23180,"3","n/a","n/a","6.89e-36","3.352"
57795,"membrane frizzled-related protein",57795,"MFRP","membrane frizzled-related protein",83552,"11","n/a","n/a","2.21e-29","3.352"
29772,"solute carrier family 40 (iron-regulated transporter), member 1",29772,"SLC40A1","solute carrier family 40 (iron-regulated transporter), member 1",30061,"2","n/a","n/a","1.70e-16","3.350"
123285,"family with sequence similarity 212, member A",123285,"FAM212A","family with sequence similarity 212, member A",389119,"3","n/a","n/a","4.32e-16","3.349"
157121115,"uncharacterized LOC100505592",157121115,"LOC100505592","uncharacterized LOC100505592",100505592,"18","n/a","n/a","1.38e-11","3.343"
1590,"dachshund homolog 1 (Drosophila)",1590,"DACH1","dachshund homolog 1 (Drosophila)",1602,"13","n/a","n/a","6.54e-14","3.341"
57722,"Rho GTPase activating protein 24",57722,"ARHGAP24","Rho GTPase activating protein 24",83478,"4","n/a","n/a","5.41e-30","3.336"
9216,"solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 2",9216,"SLC9A3R2","solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 2",9351,"16","n/a","n/a","3.26e-09","3.332"
41351,"fibronectin type III domain containing 3B",41351,"FNDC3B","fibronectin type III domain containing 3B",64778,"3","n/a","n/a","2.30e-19","3.326"
7502,"Zic family member 1",7502,"ZIC1","Zic family member 1",7545,"3","n/a","n/a","4.80e-15","3.324"
122665,"solute carrier family 16, member 12 (monocarboxylic acid transporter 12)",122665,"SLC16A12","solute carrier family 16, member 12 (monocarboxylic acid transporter 12)",387700,"10","n/a","n/a","2.81e-11","3.323"
60207,"family with sequence similarity 114, member A1",60207,"FAM114A1","family with sequence similarity 114, member A1",92689,"4","n/a","n/a","9.52e-31","3.320"
1288,"collagen, type IX, alpha 1",1288,"COL9A1","collagen, type IX, alpha 1",1297,"6","n/a","n/a","1.87e-09","3.318"
7857,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",7857,"ST8SIA4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4",7903,"5","n/a","n/a","9.65e-30","3.317"
29673,"dermatan sulfate epimerase",29673,"DSE","dermatan sulfate epimerase",29940,"6","n/a","n/a","5.29e-14","3.316"
2653,"GTP binding protein overexpressed in skeletal muscle",2653,"GEM","GTP binding protein overexpressed in skeletal muscle",2669,"8","n/a","n/a","8.61e-22","3.313"
5905,"RNA binding motif, single stranded interacting protein 1",5905,"RBMS1","RNA binding motif, single stranded interacting protein 1",5937,"2","n/a","n/a","3.84e-28","3.310"
77618,"C1q and tumor necrosis factor related protein 5",77618,"C1QTNF5","C1q and tumor necrosis factor related protein 5",114902,"11","n/a","n/a","4.42e-29","3.309"
281,"angiopoietin 1",281,"ANGPT1","angiopoietin 1",284,"8","n/a","n/a","4.16e-14","3.305"
157122971,"uncharacterized LOC100507039",157122971,"LOC100507039","uncharacterized LOC100507039",100507039,"2","n/a","n/a","1.06e-08","3.303"
10248,"deleted in liver cancer 1",10248,"DLC1","deleted in liver cancer 1",10395,"8","n/a","n/a","3.59e-22","3.299"
9137,"cytohesin 3",9137,"CYTH3","cytohesin 3",9265,"7","n/a","n/a","7.52e-22","3.298"
7180,"transient receptor potential cation channel, subfamily C, member 4",7180,"TRPC4","transient receptor potential cation channel, subfamily C, member 4",7223,"13","n/a","n/a","9.03e-22","3.292"
58379,"anthrax toxin receptor 1",58379,"ANTXR1","anthrax toxin receptor 1",84168,"2","n/a","n/a","2.20e-17","3.289"
29999,"collagen, type V, alpha 3",29999,"COL5A3","collagen, type V, alpha 3",50509,"19","n/a","n/a","5.90e-11","3.269"
22905,"FERM domain containing 4B",22905,"FRMD4B","FERM domain containing 4B",23150,"3","n/a","n/a","8.09e-19","3.266"
60067,"schlafen family member 11",60067,"SLFN11","schlafen family member 11",91607,"17","n/a","n/a","3.46e-17","3.248"
80058,"chromosome 20 open reading frame 160",80058,"C20orf160","chromosome 20 open reading frame 160",140706,"20","n/a","n/a","2.85e-18","3.246"
34150,"SNF related kinase",34150,"SNRK","SNF related kinase",54861,"3","n/a","n/a","5.50e-21","3.246"
34929,"feline leukemia virus subgroup C cellular receptor family, member 2",34929,"FLVCR2","feline leukemia virus subgroup C cellular receptor family, member 2",55640,"14","n/a","n/a","1.73e-23","3.245"
36766,"HEG homolog 1 (zebrafish)",36766,"HEG1","HEG homolog 1 (zebrafish)",57493,"3","n/a","n/a","3.58e-21","3.238"
55512,"glycosyltransferase 25 domain containing 1",55512,"GLT25D1","glycosyltransferase 25 domain containing 1",79709,"19","n/a","n/a","3.04e-19","3.232"
36881,"KIAA1462",36881,"KIAA1462","KIAA1462",57608,"10","n/a","n/a","2.52e-26","3.227"
85557,"unc-5 homolog B (C. elegans)",85557,"UNC5B","unc-5 homolog B (C. elegans)",219699,"10","n/a","n/a","1.83e-13","3.225"
8241,"histone cluster 1, H4i",8241,"HIST1H4I","histone cluster 1, H4i",8294,"6","n/a","n/a","1.49e-09","3.224"
6003,"ribonuclease, RNase A family, 1 (pancreatic)",6003,"RNASE1","ribonuclease, RNase A family, 1 (pancreatic)",6035,"14","n/a","n/a","1.81e-10","3.223"
37289,"membrane-spanning 4-domains, subfamily A, member 7",37289,"MS4A7","membrane-spanning 4-domains, subfamily A, member 7",58475,"11","n/a","n/a","1.98e-10","3.222"
30957,"inositol-3-phosphate synthase 1",30957,"ISYNA1","inositol-3-phosphate synthase 1",51477,"19","n/a","n/a","2.53e-08","3.215"
6962,"TEA domain family member 4",6962,"TEAD4","TEA domain family member 4",7004,"12","n/a","n/a","7.78e-14","3.215"
10478,"influenza virus NS1A binding protein",10478,"IVNS1ABP","influenza virus NS1A binding protein",10625,"1","n/a","n/a","7.52e-21","3.199"
8449,"integrin, alpha 10",8449,"ITGA10","integrin, alpha 10",8515,"1","n/a","n/a","3.55e-16","3.197"
832,"caspase 3, apoptosis-related cysteine peptidase",832,"CASP3","caspase 3, apoptosis-related cysteine peptidase",836,"4","n/a","n/a","1.38e-20","3.190"
4708,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase",4708,"NEDD4","neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase",4734,"15","n/a","n/a","3.81e-27","3.184"
9964,"actin related protein 2/3 complex, subunit 2, 34kDa",9964,"ARPC2","actin related protein 2/3 complex, subunit 2, 34kDa",10109,"2","n/a","n/a","1.41e-21","3.183"
3031,"hemoglobin, gamma G",3031,"HBG2","hemoglobin, gamma G",3048,"11","n/a","n/a","4.75e-04","3.176"
4452,"moesin",4452,"MSN","moesin",4478,"X","n/a","n/a","1.05e-17","3.175"
306,"annexin A6",306,"ANXA6","annexin A6",309,"5","n/a","n/a","1.83e-17","3.173"
34211,"Ras interacting protein 1",34211,"RASIP1","Ras interacting protein 1",54922,"19","n/a","n/a","2.29e-17","3.171"
34174,"TBC1 domain family, member 8B (with GRAM domain)",34174,"TBC1D8B","TBC1 domain family, member 8B (with GRAM domain)",54885,"X","n/a","n/a","4.72e-14","3.171"
55392,"ring finger protein 128, E3 ubiquitin protein ligase",55392,"RNF128","ring finger protein 128, E3 ubiquitin protein ligase",79589,"X","n/a","n/a","4.79e-07","3.170"
37319,"oligosaccharyltransferase complex subunit",37319,"OSTC","oligosaccharyltransferase complex subunit",58505,"4","n/a","n/a","2.43e-21","3.165"
5104,"phosphodiesterase 1A, calmodulin-dependent",5104,"PDE1A","phosphodiesterase 1A, calmodulin-dependent",5136,"2","n/a","n/a","6.35e-10","3.164"
40922,"SRY (sex determining region Y)-box 17",40922,"SOX17","SRY (sex determining region Y)-box 17",64321,"8","n/a","n/a","8.23e-15","3.155"
4154,"CD46 molecule, complement regulatory protein",4154,"CD46","CD46 molecule, complement regulatory protein",4179,"1","n/a","n/a","1.37e-20","3.147"
34286,"tescalcin",34286,"TESC","tescalcin",54997,"12","n/a","n/a","4.81e-15","3.147"
109216,"chondroitin sulfate synthase 3",109216,"CHSY3","chondroitin sulfate synthase 3",337876,"5","n/a","n/a","2.71e-18","3.139"
35146,"transmembrane protein 165",35146,"TMEM165","transmembrane protein 165",55858,"4","n/a","n/a","2.98e-24","3.129"
1956,"EPH receptor A2",1956,"EPHA2","EPH receptor A2",1969,"1","n/a","n/a","4.48e-17","3.127"
9299,"carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2",9299,"CHST2","carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2",9435,"3","n/a","n/a","2.07e-18","3.121"
10218,"Kruppel-like factor 2 (lung)",10218,"KLF2","Kruppel-like factor 2 (lung)",10365,"19","n/a","n/a","6.69e-11","3.119"
3471,"cysteine-rich, angiogenic inducer, 61",3471,"CYR61","cysteine-rich, angiogenic inducer, 61",3491,"1","n/a","n/a","2.14e-09","3.119"
36504,"small cell adhesion glycoprotein",36504,"SMAGP","small cell adhesion glycoprotein",57228,"12","n/a","n/a","1.22e-13","3.117"
10971,"ZW10 interactor",10971,"ZWINT","ZW10 interactor",11130,"10","n/a","n/a","1.30e-20","3.115"
30946,"ubiquitin-conjugating enzyme E2, J1",30946,"UBE2J1","ubiquitin-conjugating enzyme E2, J1",51465,"6","n/a","n/a","1.68e-23","3.114"
22912,"septin 6",22912,"SEPT6","septin 6",23157,"X","n/a","n/a","1.88e-25","3.108"
25724,"EGF-like-domain, multiple 6",25724,"EGFL6","EGF-like-domain, multiple 6",25975,"X","n/a","n/a","7.40e-06","3.107"
57984,"MARVEL domain containing 1",57984,"MARVELD1","MARVEL domain containing 1",83742,"10","n/a","n/a","1.06e-22","3.105"
957,"CD48 molecule",957,"CD48","CD48 molecule",962,"1","n/a","n/a","5.62e-07","3.103"
3365,"intercellular adhesion molecule 3",3365,"ICAM3","intercellular adhesion molecule 3",3385,"19","n/a","n/a","3.36e-21","3.096"
31044,"histone deacetylase 7",31044,"HDAC7","histone deacetylase 7",51564,"12","n/a","n/a","3.41e-21","3.094"
5436,"peroxisome proliferator-activated receptor gamma",5436,"PPARG","peroxisome proliferator-activated receptor gamma",5468,"3","n/a","n/a","1.26e-17","3.093"
22921,"stabilin 1",22921,"STAB1","stabilin 1",23166,"3","n/a","n/a","2.03e-17","3.085"
36845,"dedicator of cytokinesis 6",36845,"DOCK6","dedicator of cytokinesis 6",57572,"19","n/a","n/a","1.21e-12","3.082"
60145,"transmembrane protein 88",60145,"TMEM88","transmembrane protein 88",92162,"17","n/a","n/a","3.32e-10","3.080"
371,"amphiregulin",371,"AREG","amphiregulin",374,"4","n/a","n/a","8.50e-07","3.068"
6249,"S100 calcium binding protein A11",6249,"S100A11","S100 calcium binding protein A11",6282,"1","n/a","n/a","1.34e-09","3.066"
8914,"chemokine (C-C motif) receptor-like 2",8914,"CCRL2","chemokine (C-C motif) receptor-like 2",9034,"3","n/a","n/a","4.71e-14","3.063"
59936,"mitochondrial calcium uniporter",59936,"MCU","mitochondrial calcium uniporter",90550,"10","n/a","n/a","7.78e-20","3.063"
27031,"sushi-repeat containing protein, X-linked 2",27031,"SRPX2","sushi-repeat containing protein, X-linked 2",27286,"X","n/a","n/a","6.13e-15","3.062"
82227,"synaptopodin 2",82227,"SYNPO2","synaptopodin 2",171024,"4","n/a","n/a","7.83e-14","3.061"
7401,"vaccinia related kinase 2",7401,"VRK2","vaccinia related kinase 2",7444,"2","n/a","n/a","2.13e-19","3.060"
36377,"apoptosis, caspase activation inhibitor",36377,"AVEN","apoptosis, caspase activation inhibitor",57099,"15","n/a","n/a","1.34e-19","3.059"
6218,"Ras suppressor protein 1",6218,"RSU1","Ras suppressor protein 1",6251,"10","n/a","n/a","3.53e-18","3.057"
30846,"phospholipase A1 member A",30846,"PLA1A","phospholipase A1 member A",51365,"3","n/a","n/a","2.55e-09","3.056"
149629,"double homeobox A",149629,"DUXA","double homeobox A",503835,"19","n/a","n/a","3.00e-17","3.053"
54913,"transmembrane protein 109",54913,"TMEM109","transmembrane protein 109",79073,"11","n/a","n/a","9.30e-27","3.052"
30545,"calcium homeostasis modulator 2",30545,"CALHM2","calcium homeostasis modulator 2",51063,"10","n/a","n/a","1.81e-14","3.050"
36214,"chromosome 11 open reading frame 75",36214,"C11orf75","chromosome 11 open reading frame 75",56935,"11","n/a","n/a","1.03e-22","3.049"
34207,"CKLF-like MARVEL transmembrane domain containing 6",34207,"CMTM6","CKLF-like MARVEL transmembrane domain containing 6",54918,"3","n/a","n/a","1.11e-23","3.048"
157126279,"uncharacterized LOC100652993",157126279,"LOC100652993","uncharacterized LOC100652993",100652993,"10","n/a","n/a","1.46e-08","3.048"
36481,"ATPase, class V, type 10D",36481,"ATP10D","ATPase, class V, type 10D",57205,"4","n/a","n/a","9.42e-25","3.045"
110363,"RNA binding protein with multiple splicing 2",110363,"RBPMS2","RNA binding protein with multiple splicing 2",348093,"15","n/a","n/a","9.57e-13","3.042"
1283,"collagen, type VI, alpha 2",1283,"COL6A2","collagen, type VI, alpha 2",1292,"21","n/a","n/a","9.71e-08","3.041"
9492,"ISG15 ubiquitin-like modifier",9492,"ISG15","ISG15 ubiquitin-like modifier",9636,"1","n/a","n/a","2.19e-11","3.034"
55637,"NKF3 kinase family member",55637,"PEAK1","NKF3 kinase family member",79834,"15","n/a","n/a","9.54e-20","3.032"
30820,"dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)",30820,"DACT1","dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)",51339,"14","n/a","n/a","1.46e-16","3.031"
3931,"lectin, galactoside-binding, soluble, 1",3931,"LGALS1","lectin, galactoside-binding, soluble, 1",3956,"22","n/a","n/a","5.97e-15","3.030"
2852,"G protein-coupled receptor kinase 5",2852,"GRK5","G protein-coupled receptor kinase 5",2869,"10","n/a","n/a","3.46e-22","3.030"
9699,"hephaestin",9699,"HEPH","hephaestin",9843,"X","n/a","n/a","5.56e-22","3.019"
